Pair,Pair_Type,Action,Bought,Sold,Timestamp,Step,Price_A,Price_B,Shares_A,Shares_B,Transaction_Cost,Realised_PnL,Capital_After
COFORGE-ICICIPRULI,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1655.400024414062,643.4500122070312,,,12.503999510619135,-198.5504832973085,12107.084590508304
BAJFINANCE-TCS,negative,OPEN_LONG,BAJFINANCE+TCS,—,2024-02-20,11,668.8543701171875,3779.986572265625,7.475468836548035,1.322756021591667,10.0,,9990.0
BAJFINANCE-TCS,negative,CLOSE,CLOSE,CLOSE,2025-11-11,436,1005.200012207031,2992.597900390625,,,11.472818258695643,1461.345440436947,11451.345440436948
BAJFINANCE-TCS,negative,OPEN_LONG,BAJFINANCE+TCS,—,2025-11-27,448,1033.800048828125,3080.59814453125,5.538472093040498,1.858623699550953,11.451345440436947,,11439.89409499651
BAJFINANCE-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,902.3499755859376,3186.89990234375,,,10.920887844531203,-541.3784837502773,10898.515611246234
PERSISTENT-LTIM,negative,OPEN_LONG,PERSISTENT+LTIM,—,2024-02-05,0,4226.78369140625,5303.32763671875,1.1829325475457442,0.9428042811048304,10.0,,9990.0
PERSISTENT-LTIM,negative,CLOSE,CLOSE,CLOSE,2024-09-16,150,5250.45458984375,6319.73095703125,,,12.169203025456902,2157.033822431445,12147.033822431446
PERSISTENT-LTIM,negative,OPEN_LONG,PERSISTENT+LTIM,—,2024-09-17,151,5304.880859375,6351.509765625,1.1448922364547278,0.9562320039380555,12.147033822431446,,12134.886788609014
PERSISTENT-LTIM,negative,CLOSE,CLOSE,CLOSE,2024-12-19,215,6610.5615234375,6140.72705078125,,,13.440340300195112,1279.866137463472,13414.752926072486
PERSISTENT-LTIM,negative,OPEN_LONG,PERSISTENT+LTIM,—,2024-12-20,216,6307.97412109375,5749.515625,1.0633170546161403,1.1665985276866246,13.414752926072486,,13401.338173146414
PERSISTENT-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,6068.0,6070.5,,,13.534044249732393,105.75727941017574,13507.09545255659
ZYDUSLIFE-LTIM,negative,OPEN_LONG,ZYDUSLIFE+LTIM,—,2024-02-05,0,750.4107666015625,5303.32763671875,6.663017406644961,0.9428042811048304,10.0,,9990.0
ZYDUSLIFE-LTIM,negative,CLOSE,CLOSE,CLOSE,2024-07-04,100,1121.375366210938,5371.34619140625,,,12.535871769000286,2523.335897231285,12513.335897231285
ZYDUSLIFE-LTIM,negative,OPEN_LONG,ZYDUSLIFE+LTIM,—,2024-07-05,101,1146.425170898438,5334.15625,5.457545862947493,1.1729442587317616,12.513335897231286,,12500.822561334055
ZYDUSLIFE-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,878.0999755859375,6070.5,,,11.912629011644487,-612.6195145984437,11888.20304673561
SBIN-LTIM,negative,OPEN_LONG,SBIN+LTIM,—,2024-02-05,0,619.8984985351562,5303.32763671875,8.065836603597509,0.9428042811048304,10.0,,9990.0
SBIN-LTIM,negative,CLOSE,CLOSE,CLOSE,2024-07-09,103,844.3458862304688,5290.3251953125,,,11.798097197832067,1786.2991006342334,11776.299100634233
SBIN-LTIM,negative,OPEN_LONG,SBIN+LTIM,—,2024-07-10,104,832.2880249023438,5289.4404296875,7.074653694564452,1.113189500588626,11.776299100634233,,11764.522801533598
SBIN-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1018.200012207031,6070.5,,,13.961029341489297,2170.7692115135746,13935.292013047172
WIPRO-TCS,negative,OPEN_LONG,WIPRO+TCS,—,2024-02-05,0,226.0776062011719,3726.203369140625,22.11629928331257,1.3418483922290991,10.0,,9990.0
WIPRO-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,241.8000030517578,3186.89990234375,,,9.624057744353602,-385.5663133907507,9604.433686609249
SUNPHARMA-TCS,negative,OPEN_LONG,SUNPHARMA+TCS,—,2024-02-05,0,1437.478393554688,3726.203369140625,3.478313150596777,1.3418483922290991,10.0,,9990.0
SUNPHARMA-TCS,negative,CLOSE,CLOSE,CLOSE,2024-11-06,186,1810.54248046875,3929.06884765625,,,11.569848435713538,1558.2785872778256,11548.278587277826
SUNPHARMA-TCS,negative,OPEN_LONG,SUNPHARMA+TCS,—,2024-12-17,213,1772.497802734375,4108.31201171875,3.2576284634775483,1.4054773048318812,11.548278587277826,,11536.730308690549
SUNPHARMA-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1610.099975585938,3186.89990234375,,,9.724222995028336,-1833.7798152445175,9702.950493446031
ICICIBANK-LTIM,negative,OPEN_LONG,ICICIBANK+LTIM,—,2024-02-05,0,1006.994079589844,5303.32763671875,4.965272489026486,0.9428042811048304,10.0,,9990.0
ICICIBANK-LTIM,negative,CLOSE,CLOSE,CLOSE,2024-09-30,160,1263.252685546875,6143.52294921875,,,12.064533543823934,2052.469010280112,12042.469010280112
ICICIBANK-LTIM,negative,OPEN_LONG,ICICIBANK+LTIM,—,2024-10-01,161,1264.641967773438,6172.15283203125,4.761216738474369,0.9755485110303844,12.042469010280113,,12030.426541269831
ICICIBANK-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1334.199951171875,6070.5,,,12.274482376201165,219.73888354485186,12250.165424814682
AXISBANK-LTIM,negative,OPEN_LONG,AXISBANK+LTIM,—,2024-02-05,0,1059.775756835938,5303.32763671875,4.717979221309967,0.9428042811048304,10.0,,9990.0
AXISBANK-LTIM,negative,CLOSE,CLOSE,CLOSE,2024-11-01,183,1168.551391601562,5658.00634765625,,,10.847593791697635,836.7461979059366,10826.746197905937
AXISBANK-LTIM,negative,OPEN_LONG,AXISBANK+LTIM,—,2024-11-04,184,1138.277221679688,5663.484375,4.755759841143774,0.9558379154092693,10.826746197905937,,10815.91945170803
AXISBANK-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1340.400024414062,6070.5,,,12.1770346726685,1338.1114400898937,12154.030891797924
ALKEM-TCS,negative,OPEN_LONG,ALKEM+TCS,—,2024-02-05,0,4841.01904296875,3726.203369140625,1.032840390756603,1.3418483922290991,10.0,,9990.0
ALKEM-TCS,negative,CLOSE,CLOSE,CLOSE,2024-07-02,98,4868.880859375,3794.944091796875,,,10.121016437521176,110.89542108365428,10100.895421083655
ALKEM-TCS,negative,OPEN_LONG,ALKEM+TCS,—,2024-07-03,99,4919.353515625,3745.68212890625,1.0266486631831686,1.3483385767218246,10.100895421083655,,10090.794525662572
ALKEM-TCS,negative,CLOSE,CLOSE,CLOSE,2024-07-08,102,5167.857421875,3772.084228515625,,,10.391620593640786,280.3335519634897,10371.128077626061
ALKEM-TCS,negative,OPEN_LONG,ALKEM+TCS,—,2024-07-09,103,5269.099609375,3764.810302734375,0.984146139425161,1.3773772439601444,10.37112807762606,,10360.756949548435
ALKEM-TCS,negative,CLOSE,CLOSE,CLOSE,2025-12-19,464,5555.5,3223.402099609375,,,9.907264577711787,-473.7707644919864,9886.986185056448
ALKEM-TCS,negative,OPEN_LONG,ALKEM+TCS,—,2025-12-22,465,5624.0,3265.5361328125,0.8789994830242219,1.5138381238092609,9.886986185056449,,9877.099198871392
ALKEM-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,5565.0,3186.89990234375,,,9.716082691961775,-180.619575786636,9696.479623084757
LTIM-TCS,negative,OPEN_LONG,LTIM+TCS,—,2024-02-05,0,5303.32763671875,3726.203369140625,0.9428042811048304,1.3418483922290991,10.0,,9990.0
LTIM-TCS,negative,CLOSE,CLOSE,CLOSE,2025-12-23,466,6202.5,3250.902099609375,,,10.209961309207753,199.75134789854508,10189.751347898546
LTIM-TCS,negative,OPEN_LONG,LTIM+TCS,—,2025-12-26,468,6035.5,3221.437744140625,0.8441513833069791,1.5815533555525594,10.189751347898547,,10179.561596550648
LTIM-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,6070.5,3186.89990234375,,,10.164673206726897,-35.242814378373716,10144.318782172273
INFY-TORNTPHARM,negative,OPEN_LONG,INFY+TORNTPHARM,—,2024-02-06,1,1628.2509765625,2558.83544921875,3.0707796721582845,1.9540138860928213,10.0,,9990.0
INFY-TORNTPHARM,negative,CLOSE,CLOSE,CLOSE,2024-08-02,120,1748.938354492188,3197.03369140625,,,11.617652574146975,1606.0349215728274,11596.034921572827
INFY-TORNTPHARM,negative,OPEN_LONG,INFY+TORNTPHARM,—,2024-08-08,124,1673.9853515625,3301.320068359375,3.463601073554519,1.7562724427588743,11.596034921572828,,11584.438886651255
INFY-TORNTPHARM,negative,CLOSE,CLOSE,CLOSE,2024-09-20,154,1830.133544921875,3424.52294921875,,,12.353247796247782,744.8596268787072,12329.298513529962
INFY-TORNTPHARM,negative,OPEN_LONG,INFY+TORNTPHARM,—,2024-09-23,155,1821.202514648438,3424.374267578125,3.384933420188581,1.8002264866699003,12.329298513529963,,12316.969215016432
INFY-TORNTPHARM,negative,CLOSE,CLOSE,CLOSE,2024-09-24,156,1823.267211914062,3437.496826171875,,,12.359910953860291,18.25252937646914,12335.2217443929
INFY-TORNTPHARM,negative,OPEN_LONG,INFY+TORNTPHARM,—,2024-09-26,158,1824.851684570312,3379.4609375,3.3797874777142254,1.8250280107569523,12.3352217443929,,12322.886522648507
INFY-TORNTPHARM,negative,CLOSE,CLOSE,CLOSE,2024-09-27,159,1831.093994140625,3449.084228515625,,,12.483383880415259,135.6787521419426,12458.56527479045
INFY-TORNTPHARM,negative,OPEN_LONG,INFY+TORNTPHARM,—,2024-10-01,161,1828.789184570312,3337.46875,3.4062333099694277,1.8664692028637646,12.45856527479045,,12446.10670951566
INFY-TORNTPHARM,negative,CLOSE,CLOSE,CLOSE,2024-10-09,166,1875.268676757812,3523.01611328125,,,12.963203708547004,491.67523004800734,12937.781939563667
INFY-TORNTPHARM,negative,OPEN_LONG,INFY+TORNTPHARM,—,2024-10-10,167,1842.857788085938,3410.113037109375,3.510249684811908,1.896972592810375,12.937781939563667,,12924.844157624104
INFY-TORNTPHARM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1654.5,3997.10009765625,,,13.39009743949488,438.9254024917193,13363.769560115823
ZYDUSLIFE-TCS,negative,OPEN_LONG,ZYDUSLIFE+TCS,—,2024-02-05,0,750.4107666015625,3726.203369140625,6.663017406644961,1.3418483922290991,10.0,,9990.0
ZYDUSLIFE-TCS,negative,CLOSE,CLOSE,CLOSE,2025-11-06,433,936.7000122070312,2957.142333984375,,,10.209285172589537,199.0758874169464,10189.075887416946
ZYDUSLIFE-TCS,negative,OPEN_LONG,ZYDUSLIFE+TCS,—,2025-12-31,471,914.3499755859376,3148.955322265625,5.571759260390169,1.6178501827847565,10.189075887416946,,10178.88681152953
ZYDUSLIFE-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,878.0999755859375,3186.89990234375,,,10.048488260042886,-150.63611563410177,10028.250695895429
WIPRO-TORNTPHARM,negative,OPEN_LONG,WIPRO+TORNTPHARM,—,2024-02-05,0,226.0776062011719,2591.13037109375,22.11629928331257,1.9296597561354794,10.0,,9990.0
WIPRO-TORNTPHARM,negative,CLOSE,CLOSE,CLOSE,2025-07-02,347,255.2593536376953,3349.39990234375,,,12.10859445867303,2096.485864214357,12086.485864214357
WIPRO-TORNTPHARM,negative,OPEN_LONG,WIPRO+TORNTPHARM,—,2025-07-03,348,255.3071594238281,3334.10009765625,23.670479690994345,1.8125559386640362,12.086485864214357,,12074.399378350143
WIPRO-TORNTPHARM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,241.8000030517578,3997.10009765625,,,12.968489580960439,869.0352271651211,12943.434605515264
TECHM-TCS,negative,OPEN_LONG,TECHM+TCS,—,2024-02-20,11,1248.854370117188,3779.986572265625,4.003669378624842,1.322756021591667,10.0,,9990.0
TECHM-TCS,negative,CLOSE,CLOSE,CLOSE,2024-12-09,207,1727.857421875,4225.67236328125,,,12.507303414394366,2494.796110979971,12484.79611097997
TECHM-TCS,negative,OPEN_LONG,TECHM+TCS,—,2024-12-12,210,1739.27685546875,4228.330078125,3.5890767107388464,1.4763270464112155,12.484796110979971,,12472.31131486899
TECHM-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1717.300048828125,3186.89990234375,,,10.868428130635046,-1627.2364084755588,10845.07490639343
BIOCON-TCS,negative,OPEN_LONG,BIOCON+TCS,—,2024-02-05,0,283.8765258789062,3726.203369140625,17.61329149889928,1.3418483922290991,10.0,,9990.0
BIOCON-TCS,negative,CLOSE,CLOSE,CLOSE,2024-07-25,114,361.3668518066406,4092.6328125,,,11.85655245834708,1844.6959058887333,11834.695905888733
BIOCON-TCS,negative,OPEN_LONG,BIOCON+TCS,—,2024-07-26,115,368.0079650878906,4154.50830078125,16.079401845368043,1.4243196846740243,11.834695905888733,,11822.861209982844
BIOCON-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,368.2000122070312,3186.89990234375,,,10.459600219740201,-1385.5552863682715,10437.305923614573
PERSISTENT-TCS,negative,OPEN_LONG,PERSISTENT+TCS,—,2024-02-05,0,4226.78369140625,3726.203369140625,1.1829325475457442,1.3418483922290991,10.0,,9990.0
PERSISTENT-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,6068.0,3186.89990234375,,,11.45437120866261,1442.916837453947,11432.916837453948
COFORGE-TCS,negative,OPEN_LONG,COFORGE+TCS,—,2024-02-07,2,1288.906616210938,3829.4560546875,3.8792569896946802,1.305668462725843,10.0,,9990.0
COFORGE-TCS,negative,CLOSE,CLOSE,CLOSE,2025-01-13,231,1721.170043945312,4072.814697265625,,,11.994606628173981,1982.6120215458066,11972.612021545807
COFORGE-TCS,negative,OPEN_LONG,COFORGE+TCS,—,2025-01-23,239,1818.225708007812,4006.97265625,3.292388829620037,1.4939722639323672,11.972612021545807,,11960.639409524261
COFORGE-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1655.400024414062,3186.89990234375,,,10.211360610963926,-1771.4627711928445,10189.176638331417
AUROPHARMA-TCS,negative,OPEN_LONG,AUROPHARMA+TCS,—,2024-02-20,11,1048.46435546875,3779.986572265625,4.768879336641433,1.322756021591667,10.0,,9990.0
AUROPHARMA-TCS,negative,CLOSE,CLOSE,CLOSE,2024-06-27,95,1183.806274414062,3716.303955078125,,,10.561192715284216,550.6315225689315,10540.631522568932
AUROPHARMA-TCS,negative,OPEN_LONG,AUROPHARMA+TCS,—,2024-07-05,101,1298.675170898438,3789.654052734375,4.0582247812117656,1.3907115762932871,10.540631522568933,,10530.090891046364
AUROPHARMA-TCS,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,1172.099975585938,3186.89990234375,,,9.18870375365796,-1361.116472664632,9168.974418381731
LUPIN-LTIM,negative,OPEN_LONG,LUPIN+LTIM,—,2024-02-05,0,1556.601806640625,5303.32763671875,3.2121252710034645,0.9428042811048304,10.0,,9990.0
LUPIN-LTIM,negative,CLOSE,CLOSE,CLOSE,2024-09-13,149,2242.50244140625,6312.59814453125,,,13.154743317886453,3141.588574568566,13131.588574568566
LUPIN-LTIM,negative,OPEN_LONG,LUPIN+LTIM,—,2024-09-25,157,2207.37109375,6004.01220703125,2.974485942066932,1.0935677778261568,13.131588574568566,,13118.456985993998
LUPIN-LTIM,negative,CLOSE,CLOSE,CLOSE,2026-02-01,493,2135.199951171875,6070.5,,,12.989625433556427,-154.95276644569591,12963.504219548302
