Date,HDFCBANK,ICICIBANK,SBIN,LICI,BAJFINANCE,KOTAKBANK,AXISBANK,SBILIFE,HDFCLIFE,ICICIPRULI,TCS,INFY,HCLTECH,WIPRO,TECHM,LTIM,PERSISTENT,MPHASIS,COFORGE,OFSS,SUNPHARMA,DIVISLAB,DRREDDY,CIPLA,LUPIN,AUROPHARMA,ZYDUSLIFE,TORNTPHARM,ALKEM,BIOCON
2016-02-04,241.2021026611328,173.1404876708984,146.987060546875,,61.40480041503906,134.3751220703125,373.4893798828125,,,,957.1930541992188,450.2706298828125,328.718017578125,95.21977233886719,338.8117065429688,,287.7859802246094,346.9275207519531,94.98688507080078,2345.389404296875,772.7498779296875,1005.730651855469,562.6414184570312,515.4832153320312,1561.615112304688,702.0285034179688,285.5119018554688,588.5121459960938,1229.17919921875,75.87591552734375
2016-02-05,242.5929260253906,177.7671966552734,151.8158874511719,,64.83563995361328,137.5047302246094,389.8828735351562,,,,957.944580078125,448.3431091308594,329.5897216796875,94.87116241455078,342.8894348144531,,286.7575378417969,337.8565368652344,91.81718444824219,2376.840576171875,793.048828125,1027.143798828125,581.4263916015625,533.9801635742188,1703.38720703125,723.5982055664062,298.4481811523438,598.5288696289062,1220.55908203125,76.70346069335938
2016-02-08,238.1330413818359,177.0456237792969,155.3811340332031,,64.46590423583984,133.7491912841797,398.6651000976562,,,,934.6087036132812,439.2213439941406,322.0477905273438,92.67750549316406,339.6777954101562,,284.857177734375,340.8545837402344,91.23530578613281,2344.90234375,772.796142578125,988.4799194335938,574.1798706054688,530.8894653320312,1720.441162109375,706.5321044921875,298.8139038085938,583.9172973632812,1207.149658203125,76.3870620727539
2016-02-09,235.8801422119141,177.7671966552734,150.7779235839844,,63.72928619384766,134.5341033935547,390.224365234375,,,,902.3533935546875,422.75244140625,307.1533813476562,91.18955993652344,323.51123046875,,278.6641235351562,335.8194274902344,88.38693237304688,2304.9794921875,789.8121337890625,956.1055297851562,553.46875,520.5872802734375,1800.515502929688,704.1617431640625,300.1852111816406,577.7329711914062,1220.878051757812,74.37493896484375
2016-02-10,232.8685455322266,175.9419860839844,143.5120697021484,,62.70861053466797,132.6066589355469,384.0768127441406,,,,897.36962890625,423.0959777832031,313.5772399902344,90.330810546875,317.8457641601562,,273.566650390625,330.8226623535156,87.73563385009766,2244.0888671875,791.38427734375,941.305908203125,539.5272827148438,504.4315795898438,1750.722900390625,655.3815307617188,298.4481811523438,574.4229736328125,1204.914794921875,74.23701477050781
2016-02-11,224.2131195068359,169.1504974365234,139.2247467041016,,59.81061553955078,124.976318359375,368.0736389160156,,,,869.3468017578125,411.6841125488281,306.2249145507812,87.9500961303711,311.7472229003906,,268.178466796875,330.1307983398438,84.27936553955078,2151.130126953125,767.9409790039062,943.0633544921875,539.5834350585938,506.5388793945312,1692.33251953125,605.9849853515625,292.3685607910156,559.8961181640625,1163.775024414062,71.90037536621094
2016-02-12,223.3165435791016,164.3115539550781,139.7211761474609,,58.04460525512695,123.5953063964844,381.6373291015625,,,,880.6788330078125,413.9741821289062,302.5296936035156,87.96711730957031,310.3398742675781,,261.9629516601562,332.5138549804688,85.26065826416016,2218.739501953125,783.615966796875,913.093994140625,532.4957885742188,495.0659484863281,1659.405029296875,627.6019897460938,278.9295654296875,546.1650390625,1203.86572265625,72.38717651367188
2016-02-15,223.8223114013672,172.7584533691406,151.5,,60.10825347900391,124.241096496582,407.544921875,,,,897.5078735351562,416.6839904785156,313.4635925292969,89.40403747558594,310.556396484375,,274.8410339355469,337.8949584960938,86.74565887451172,2218.414794921875,786.251708984375,918.2738037109375,534.6650390625,505.4617309570312,1699.229858398438,619.4481811523438,287.8431701660156,575.528564453125,1199.487060546875,74.3262710571289
2016-02-16,223.7878265380859,166.9008026123047,141.1653289794922,,58.1864128112793,123.2475814819336,395.9816589355469,,,,896.083984375,411.875,312.4024658203125,89.548583984375,305.1795349121094,,273.7231140136719,319.5992126464844,86.37223815917969,2123.28173828125,765.5365600585938,896.999267578125,534.0292358398438,490.8046875,1653.877685546875,596.5039672851562,284.7348327636719,562.7483520507812,1194.607299804688,72.77661895751953
2016-02-17,224.1211853027344,161.9345397949219,143.4669342041016,,59.14999389648438,124.2510375976562,393.3469543457031,,,,900.0394897460938,419.0121154785156,312.5918579101562,89.60808563232422,310.0151062011719,,285.6173095703125,323.3275756835938,86.23328399658203,2118.964599609375,791.4304809570312,914.3426513671875,553.6744995117188,486.1687316894531,1634.933959960938,628.7870483398438,287.11181640625,585.0143432617188,1202.178466796875,74.91041564941406
2016-02-18,227.4660797119141,166.5187835693359,144.2341156005859,,59.66299819946289,126.2877883911133,388.4191589355469,,,,915.9795532226562,428.7637634277344,319.8496398925781,92.0483169555664,309.9067993164062,,288.8367919921875,340.9314575195312,83.1851577758789,2135.875244140625,804.9785766601562,902.1791381835938,580.3978271484375,491.1325073242188,1678.726684570312,634.0072631835938,294.7455444335938,587.9330444335938,1193.694946289062,75.04835510253906
2016-02-19,227.4316101074219,168.7684631347656,148.6568145751953,,58.54165267944336,125.4234008789062,383.0033874511719,,,,917.4823608398438,430.2331848144531,322.72998046875,93.0771255493164,317.9178771972656,,291.2066955566406,324.0578308105469,81.2920150756836,2109.3896484375,799.19873046875,920.9564208984375,572.0199584960938,491.3665466308594,1690.253784179688,622.1906127929688,299.2710266113281,590.2765502929688,1195.291259765625,75.05647277832031
2016-02-22,227.30517578125,168.4713592529297,148.8824615478516,,58.09978866577148,127.2117614746094,387.5409240722656,,,,915.998779296875,430.0040893554688,320.6076049804688,92.2948989868164,311.5667419433594,,293.666015625,324.7881469726562,81.09226989746094,2112.47314453125,816.075927734375,917.025146484375,581.2206420898438,496.845458984375,1710.662353515625,621.0991821289062,300.9623107910156,597.0870361328125,1169.0654296875,76.58177185058594
