episode,reward,pnl,actor_loss,value_loss,entropy
1,-37.21474495970488,-5417.422269023703,0.0,0.3667538826054494,1.401129669217127
2,-82.16603484503443,-3586.1510385646234,0.0,0.30115751270870017,1.4282532662153242
3,-45.77795012996388,-3780.1109165892462,0.0,0.24177048759801045,1.485086358178939
4,-72.40397280694319,-3727.490938657593,0.0,0.2753340416887243,1.244009506090411
5,-40.10379650048213,-2998.9058198190883,0.0,0.1773531010490842,0.9908900486039264
6,-36.1434658372566,-5682.265039464847,0.0,0.2366616600758529,0.8396711844485254
7,-61.6652809367847,-2780.405926382791,0.0,0.18123436954837027,1.2975674722476727
8,-162.303326797922,-2238.633721784587,0.0,0.5377929519329752,1.8133370855557065
9,-110.3569243116129,-3908.5256331218893,0.0,0.46655557251402313,2.0757569504103492
10,-114.85140959673173,-3631.182535285333,0.0,0.3440260685348351,1.3451657539233566
11,-83.10319878835631,-4106.385836639433,0.0,0.2680267564253882,1.9839085710367985
12,-70.50277055522719,-7920.940935612556,0.0,0.43509033405155473,-0.3884619021455624
13,-7.87942485241533,-6674.5442721948875,0.0,0.3475096514049385,0.5565702941900652
14,-109.01280416650306,-1360.9774231345903,0.0,0.4622650606092065,2.17882025779358
15,-9.620082173280068,-6781.117369470202,0.0,0.12854585674025917,2.0760815410741738
16,-232.9215510967993,-15058.636928713775,0.0,1.6774388412146697,-0.2007870707627652
17,-279.16452422515533,-9702.706107834514,0.0,0.9235437448934785,-0.334135462195679
18,-59.37474581124509,-7225.468347818171,0.0,0.3517003911414317,0.4464214489263083
19,-196.63194060802985,-388.8877464414606,0.0,0.5264545527087259,0.24097150334813966
20,-9.95315279924937,-6469.280776384077,0.0,0.20656950097930218,1.683081932099802
21,-231.51696302007844,-508.9338322423139,0.0,0.5546981873323342,0.6298525429729904
22,-29.47493052062165,-7508.608392006045,0.0,0.5505018635386867,0.1469541776193572
23,-79.05041105442994,-3680.784685640948,0.0,0.15380653905615743,2.0274283311196735
24,-103.74999442491206,-3057.1829931103994,0.0,0.22593704028986394,2.0195664437221628
25,-156.82404891043493,-7187.452394363599,0.0,0.4937510891351849,-0.5460260115696915
26,-85.44936696535561,-6963.729191195617,0.0,0.37766185966985566,0.5145965269434133
27,-73.43777837044036,-2928.726360950142,0.0,0.32793006600945124,-0.09331671214313246
28,-35.228200093979204,-4933.431495908224,0.0,0.1757728189861934,0.5258817041026694
29,-15.61631093824789,-4427.798058523035,0.0,0.17765355778059788,-0.1913854715364453
30,-19.142930677546346,-6997.721187266545,0.0,0.2675088886271364,1.726525995933584
31,-62.41352019625375,-5698.5912190198615,0.0,0.2599690835390773,1.6435294991093023
32,-53.902164557991895,-6144.237028306337,0.0,0.20467448142423691,0.8496817380455988
33,-31.526403026546024,-5208.760444515141,0.0,0.11940810888273908,0.5048221163717763
34,-1.7786779323541908,-5675.638946518828,0.0,0.11795720502268522,0.9713287889957427
35,-12.329061746498235,-4473.979777130515,0.0,0.13354847152201857,0.6819351185246237
36,-89.21860854602382,-2751.883025155972,0.0,0.3809140683950058,0.6467332720590223
37,-68.64756720078158,-2742.2003152684565,0.0,0.22272759341701334,0.5244709390581452
38,-81.80321097477444,-3928.1310148646176,0.0,0.4421120793492134,0.620560943359825
39,-107.09020317497298,-3324.007372126367,0.0,0.5034900707924472,1.7820380413638695
40,-163.34468474760155,-1038.9466809743403,0.0,0.7083754480151194,1.8495314727404288
41,16.180528166149568,-6275.909710286214,0.0,0.5759803170005657,0.06982110270390486
42,-49.658683698843326,-5091.935350028401,0.0,0.42843816912999105,0.48709493133979515
43,-64.07228478850017,-4656.650563809566,0.0,0.26536506507379404,2.0014648791934766
44,-50.826080408608895,-3515.5594567846338,0.0,0.26176557318706595,0.399709519588006
45,13.299166946411182,-2961.9610600411183,0.0,0.23820215165947695,-0.10266287905937393
46,9.122972958020762,-3057.520530126542,0.0,0.2651933205313981,-0.08612666802613861
47,6.721726793946875,-1934.6208666832772,0.0,0.4795315811867892,-0.5263260851414607
48,31.746083285992317,-4701.147553260212,0.0,0.40654572402459704,-0.41703837247831477
49,-0.8902486722052916,-3290.539095735061,0.0,0.414767277959202,0.024297633600404628
50,-45.63584266722236,-3254.959844469342,0.0,0.26911231753349835,1.6667949195419038
51,-43.382888170309066,-4722.311205001341,0.0,0.34392952336264515,0.112636796323516
52,-34.315812281238124,-5277.44054208714,0.0,0.2131344536951344,1.6518123214000036
53,-11.80235154413012,-3691.158174190022,0.0,0.3962773582365896,-0.10799562247370234
54,85.96414005342338,125.19252101375162,0.0,0.3149799687072768,-0.9399315530168159
55,-18.136687352489293,-3520.308330646538,0.0,0.20798725761207087,0.7450073570225089
56,-19.98128496954692,-3786.496117069436,0.0,0.19975617950715657,0.07459609828323924
57,35.050220318789876,-4769.313354234707,0.0,0.18643493629393298,-0.0765810607001185
58,-117.98126420657353,-4928.630588176899,0.0,0.2898233241068998,0.7057756209978834
59,-67.93205399736681,-4472.535976817113,0.0,0.38858195093926046,0.5362369998220986
60,-63.496537079756216,-3250.0204000813187,0.0,0.24378130455401592,0.992110375447997
61,-14.252562466604102,-507.0897762753186,0.0,0.42025372947433165,-0.3036860176283101
62,85.792303274538,796.5446297802558,0.0,0.34087521082588607,-1.2708805781389987
63,110.37001738396707,716.289815175677,0.0,0.17829075204541112,-1.3575528576437916
64,113.87741883595919,199.95981404354913,0.0,0.19151904982032386,-1.1817950115139995
65,1.3016404565768611,-3910.6432373021657,0.0,0.2874371614074335,0.26887580435307296
66,131.99732295588214,310.58165706594036,0.0,0.16854846255487893,-1.594487645317401
67,129.89119371118275,-92.92644281470753,0.0,0.17738679628486612,-1.4025204781975065
68,118.91398572502904,290.2344876807469,0.0,0.2013007064998549,-1.1468885307865482
69,125.22796386489054,-824.3968549335217,0.0,0.16834533511428162,-1.2887477026454042
70,120.67866467744895,134.46186006057673,0.0,0.19264209507631935,-1.176263043470681
71,129.14210564981352,90.57871128855689,0.0,0.21534190253254826,-1.2819999163704259
72,128.45963830251227,241.48845166451798,0.0,0.21103917564198907,-1.4128305982266154
73,122.99350159594586,741.5191443188547,0.0,0.2537072273757076,-1.5693124658295086
74,12.703796158650734,-3459.3254242753665,0.0,0.28850335750945044,-0.5050885040795297
75,129.71672737389048,62.354636630297506,0.0,0.14179043289041146,-1.7618671052690063
76,41.6214059383191,-4265.817285339846,0.0,0.18063563758041712,-0.16067558174503832
77,132.63900294600032,229.39856419383142,0.0,0.2319908155527498,-1.728547495816435
78,133.2329724205661,0.0,0.0,0.1971219171861386,-1.983780621630805
79,132.07089558864823,-196.57115197233867,0.0,0.20085409714457844,-1.4751072466905628
80,123.98528578026803,-192.64503535132064,0.0,0.18441808019914396,-1.4836560699556556
81,21.20709834891308,-5606.253017243289,0.0,0.13680007600924,0.30735891977923796
